id,year,population,city,state
1100015,1991,31957.0,Alta Floresta D'Oeste,RO
1100015,2000,26481.0,Alta Floresta D'Oeste,RO
1100015,2010,24285.0,Alta Floresta D'Oeste,RO
1100023,1991,83365.0,Ariquemes,RO
1100023,2000,74383.0,Ariquemes,RO
1100023,2010,89934.0,Ariquemes,RO
1100031,1991,8146.0,Cabixi,RO
1100031,2000,7518.0,Cabixi,RO
1100031,2010,6313.0,Cabixi,RO
1100049,1991,78862.0,Cacoal,RO
1100049,2000,73438.0,Cacoal,RO
1100049,2010,78402.0,Cacoal,RO
1100056,1991,21534.0,Cerejeiras,RO
1100056,2000,18190.0,Cerejeiras,RO
1100056,2010,16976.0,Cerejeiras,RO
1100064,1991,38940.0,Colorado do Oeste,RO
1100064,2000,21875.0,Colorado do Oeste,RO
1100064,2010,18540.0,Colorado do Oeste,RO
1100072,1991,,Corumbiara,RO
1100072,2000,10457.0,Corumbiara,RO
1100072,2010,8652.0,Corumbiara,RO
1100080,1991,10335.0,Costa Marques,RO
1100080,2000,10189.0,Costa Marques,RO
1100080,2010,13574.0,Costa Marques,RO
1100098,1991,23085.0,Espigão D'Oeste,RO
1100098,2000,25629.0,Espigão D'Oeste,RO
1100098,2010,28645.0,Espigão D'Oeste,RO
1100106,1991,32436.0,Guajará-Mirim,RO
1100106,2000,37761.0,Guajará-Mirim,RO
1100106,2010,40263.0,Guajará-Mirim,RO
1100114,1991,63478.0,Jaru,RO
1100114,2000,53544.0,Jaru,RO
1100114,2010,51857.0,Jaru,RO
1100122,1991,97455.0,Ji-Paraná,RO
1100122,2000,106216.0,Ji-Paraná,RO
1100122,2010,116029.0,Ji-Paraná,RO
1100130,1991,16758.0,Machadinho D'Oeste,RO
1100130,2000,22704.0,Machadinho D'Oeste,RO
1100130,2010,31092.0,Machadinho D'Oeste,RO
1100148,1991,15771.0,Nova Brasilândia D'Oeste,RO
1100148,2000,17063.0,Nova Brasilândia D'Oeste,RO
1100148,2010,19764.0,Nova Brasilândia D'Oeste,RO
1100155,1991,83825.0,Ouro Preto do Oeste,RO
1100155,2000,40844.0,Ouro Preto do Oeste,RO
1100155,2010,37759.0,Ouro Preto do Oeste,RO
1100189,1991,48569.0,Pimenta Bueno,RO
1100189,2000,31651.0,Pimenta Bueno,RO
1100189,2010,33697.0,Pimenta Bueno,RO
1100205,1991,286032.0,Porto Velho,RO
1100205,2000,333550.0,Porto Velho,RO
1100205,2010,421223.0,Porto Velho,RO
1100254,1991,30026.0,Presidente Médici,RO
1100254,2000,26349.0,Presidente Médici,RO
1100254,2010,22287.0,Presidente Médici,RO
1100262,1991,,Rio Crespo,RO
1100262,2000,2937.0,Rio Crespo,RO
1100262,2010,3301.0,Rio Crespo,RO
1100288,1991,59686.0,Rolim de Moura,RO
1100288,2000,47290.0,Rolim de Moura,RO
1100288,2010,50402.0,Rolim de Moura,RO
1100296,1991,12326.0,Santa Luzia D'Oeste,RO
1100296,2000,11597.0,Santa Luzia D'Oeste,RO
1100296,2010,8869.0,Santa Luzia D'Oeste,RO
1100304,1991,39101.0,Vilhena,RO
1100304,2000,53554.0,Vilhena,RO
1100304,2010,75819.0,Vilhena,RO
1100320,1991,19449.0,São Miguel do Guaporé,RO
1100320,2000,23855.0,São Miguel do Guaporé,RO
1100320,2010,21773.0,São Miguel do Guaporé,RO
1100338,1991,7201.0,Nova Mamoré,RO
1100338,2000,14776.0,Nova Mamoré,RO
1100338,2010,22539.0,Nova Mamoré,RO
1100346,1991,21021.0,Alvorada D'Oeste,RO
1100346,2000,19808.0,Alvorada D'Oeste,RO
1100346,2010,16808.0,Alvorada D'Oeste,RO
1100379,1991,,Alto Alegre dos Parecis,RO
1100379,2000,12697.0,Alto Alegre dos Parecis,RO
1100379,2010,12808.0,Alto Alegre dos Parecis,RO
1100403,1991,,Alto Paraíso,RO
1100403,2000,13112.0,Alto Paraíso,RO
1100403,2010,17132.0,Alto Paraíso,RO
1100452,1991,,Buritis,RO
1100452,2000,25629.0,Buritis,RO
1100452,2010,32329.0,Buritis,RO
1100502,1991,,Novo Horizonte do Oeste,RO
1100502,2000,12273.0,Novo Horizonte do Oeste,RO
1100502,2010,10240.0,Novo Horizonte do Oeste,RO
1100601,1991,,Cacaulândia,RO
1100601,2000,5365.0,Cacaulândia,RO
1100601,2010,5736.0,Cacaulândia,RO
1100700,1991,,Campo Novo de Rondônia,RO
1100700,2000,11456.0,Campo Novo de Rondônia,RO
1100700,2010,12656.0,Campo Novo de Rondônia,RO
1100809,1991,,Candeias do Jamari,RO
1100809,2000,13053.0,Candeias do Jamari,RO
1100809,2010,19768.0,Candeias do Jamari,RO
1100908,1991,,Castanheiras,RO
1100908,2000,4212.0,Castanheiras,RO
1100908,2010,3575.0,Castanheiras,RO
1100924,1991,,Chupinguaia,RO
1100924,2000,5498.0,Chupinguaia,RO
1100924,2010,8220.0,Chupinguaia,RO
1100940,1991,,Cujubim,RO
1100940,2000,6506.0,Cujubim,RO
1100940,2010,15834.0,Cujubim,RO
1101005,1991,,Governador Jorge Teixeira,RO
1101005,2000,13635.0,Governador Jorge Teixeira,RO
1101005,2010,10511.0,Governador Jorge Teixeira,RO
1101104,1991,,Itapuã do Oeste,RO
1101104,2000,6807.0,Itapuã do Oeste,RO
1101104,2010,8551.0,Itapuã do Oeste,RO
1101203,1991,,Ministro Andreazza,RO
1101203,2000,11342.0,Ministro Andreazza,RO
1101203,2010,10352.0,Ministro Andreazza,RO
1101302,1991,,Mirante da Serra,RO
1101302,2000,13147.0,Mirante da Serra,RO
1101302,2010,11878.0,Mirante da Serra,RO
1101401,1991,,Monte Negro,RO
1101401,2000,12605.0,Monte Negro,RO
1101401,2010,14079.0,Monte Negro,RO
1101435,1991,,Nova União,RO
1101435,2000,8223.0,Nova União,RO
1101435,2010,7492.0,Nova União,RO
1101450,1991,,Parecis,RO
1101450,2000,3622.0,Parecis,RO
1101450,2010,4805.0,Parecis,RO
1101468,1991,,Pimenteiras do Oeste,RO
1101468,2000,2520.0,Pimenteiras do Oeste,RO
1101468,2010,2299.0,Pimenteiras do Oeste,RO
1101476,1991,,Primavera de Rondônia,RO
1101476,2000,4311.0,Primavera de Rondônia,RO
1101476,2010,3522.0,Primavera de Rondônia,RO
1101484,1991,,São Felipe D'Oeste,RO
1101484,2000,7056.0,São Felipe D'Oeste,RO
1101484,2010,6015.0,São Felipe D'Oeste,RO
1101492,1991,,São Francisco do Guaporé,RO
1101492,2000,11079.0,São Francisco do Guaporé,RO
1101492,2010,16018.0,São Francisco do Guaporé,RO
1101500,1991,,Seringueiras,RO
1101500,2000,11654.0,Seringueiras,RO
1101500,2010,11626.0,Seringueiras,RO
1101559,1991,,Teixeirópolis,RO
1101559,2000,5613.0,Teixeirópolis,RO
1101559,2010,4885.0,Teixeirópolis,RO
1101609,1991,,Theobroma,RO
1101609,2000,11140.0,Theobroma,RO
1101609,2010,10609.0,Theobroma,RO
